,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
369,JW3160,JW3182,JW3217,JW3255,JW3319,JW3357,JW3406,,JW3482,,JW3546,JW3576
370,yrbD,yhcA,yhdE,yhdN,yhfA,yrfC,yhhZ,,mdtF,,yiaJ,yibT
371,JW3161,JW3188,JW3222,JW3305,JW3325,JW3360,JW3411,JW3459,JW3484,JW3508,JW3549,JW3577
372,yrbE,yhcF,yhdH,yheL,yhfG,nudE,yrhB,yhiN,gadX,yhjV,yiaM,yibL
373,JW3163,JW3189,JW3225,JW3306,JW3327,JW3365,JW3413,JW3463,JW3486,JW3519,JW3551,
374,yrbG,yhcG,yhdT,yheM,tsgA,yhgE,yhhA,yhiP,yhjA,yiaC,yiaO,
375,JW3164,JW3190,JW3228,JW3307,JW3332,JW3374,JW3424,JW3466,JW3488,JW5657,JW3558,JW3619
376,kdsD,yhcH,dusB,yheN,yhfL,yhgA,yhhK,yhiR,yhjB,yiaD,yiaV,yicC
377,JW3165,JW3201,JW3231,JW3310,JW3339,JW3377,JW3430,JW3475,JW3490,JW3524,JW3559,JW3630
378,kdsC,yhcM,yhdU,slyX,yhfS,gntY,yhhF,yhiF,yhjD,yiaG,yiaW,yicH
382,JW3633,JW3674,JW3733,JW3809,JW3849,JW3892,JW3963,JW3990,JW4025,JW4069,JW4101,JW4136
383,setC,yidA,hsrA,rmuC,yihQ,yiiR,yjaG,yjbA,yjcD,phnA,yjeH,yjeB
384,JW5965,JW3688,JW3737,JW3830,JW3850,JW3893,JW3965,JW3998,JW4026,JW4070,JW4105,JW4138
385,yicS,mdtL,yifE,yihD,yihR,yiiS,yjaH,yjbI,yjcE,yjdA,yjeJ,rlmB
386,JW3640,JW3690,JW3738,JW3834,JW3852,JW3899,JW3972,JW4005,JW4027,JW4076,,JW4139
387,ade,yieE,yifB,yihG,yihT,yiiU,yjaB,yjbJ,yjcF,adiC,,yjfI
388,JW3651,JW3691,JW5597,JW3837,JW3853,JW3908,JW3982,JW4007,JW4028,JW4082,JW4118,JW4140
389,yidG,yieF,rffC,yihI,yihU,yiiX,yjbC,yjbL,actP,yjdF,yjeN,yjfJ
390,JW3652,JW3692,JW3779,JW3843,JW3859,JW3916,JW3983,JW4008,JW4029,JW4087,JW4119,JW4141
391,yidH,yieG,cyaY,yihL,yiiD,yijF,yjbD,yjbM,yjcH,yjdI,yjeO,yjfK
392,JW3653,JW3693,JW3783,JW3844,JW3867,JW3927,JW3986,JW4017,JW4039,JW4088,JW4120,
393,yidI,yieH,yigA,yihM,yiiG,yijP,yjbE,yjbQ,yjcO,yjdJ,yjeP,
394,JW3654,JW3694,JW3785,JW3845,JW3871,JW3936,JW3988,JW4018,JW4041,JW4089,JW4124,JW4143
395,yidJ,yieI,yigB,yihN,frvA,yijD,yjbG,yjbR,yjcP,yjdK,yjeS,yjfM
396,JW3655,JW3695,JW3790,JW3846,JW3886,JW5548,JW3989,JW4022,JW4043,JW4091,JW4134,JW4144
397,yidK,cbrC,yigF,ompL,fieF,nudC,yjbH,yjcC,yjcR,yjdL,yjeT,yjfC
401,JW4148,JW4179,JW4207,JW5968,JW4303,JW4350,JW0698,JW1831,JW3835,JW4312,JW0102,
402,yjfP,ytfM,yjgI,yjhX,yjiR,ytjB,phr,holE,polA,hsdM,hofC,
403,JW4149,JW4180,JW4212,JW4271,JW4304,JW4354,JW1048,JW1850,,JW4314,JW0103,JW0327
404,ulaR,ytfN,yjgD,yjhR,yjiS,yjjK,dinI,ruvA,,mrr,hofB,codB
405,JW4157,JW4181,JW4220,JW4288,JW4316,JW4365,JW1100,JW1852,JW4004,,JW0108,JW0332
406,yjfY,ytfP,yjgR,yjiC,yjiX,yjjY,mfd,ruvC,dinF,,aroP,cynX
407,JW4162,JW4182,JW4258,JW4292,JW4336,JW4366,JW1173,JW1854,JW4019,,JW0123,JW0358
408,yjfZ,yzfA,yjhF,yjiG,yjjG,yjtD,umuC,nudB,uvrA,,yadG,tauB
409,JW4167,JW4186,JW4259,,JW4340,JW0387,JW1343,JW1944,JW4128,JW0018,JW0147,JW0359
410,ytfE,ytfQ,yjhG,,yjjU,sbcC,recT,dcm,mutL,nhaA,fhuC,tauC
411,JW4169,JW4193,JW4261,,JW4342,JW0456,JW1355,,JW4159,JW0044,JW0148,JW0386
412,ytfG,yjgA,yjhI,,yjjW,priC,ydaV,,priB,yaaU,fhuD,araJ
413,JW4175,JW4205,JW4268,JW4299,JW4343,JW0461,JW1602,JW2053,JW4216,JW0046,JW0149,JW0391
414,ytfJ,pyrL,yjhP,yjiN,yjjI,recR,tus,alkA,holC,kefC,fhuB,brnQ
415,,JW4206,JW4269,JW4300,JW4348,JW0674,JW1752,JW2200,,,JW0195,JW0438
416,,yjgH,yjhQ,yjiO,yjjJ,seqA,topB,alkB,,,metN,mdlA
420,JW0441,JW0579,JW0077,JW0593,JW1253,JW1391,JW1736,JW2028,JW2414,JW2839,JW3645,JW3910
421,amtB,fepE,ilvH,ybdL,trpB,paaI,astA,wcaM,cysM,ygeX,ilvN,metB
422,JW0451,JW0580,JW0232,JW0854,JW1255,JW1392,,JW2029,JW2535,JW2880,JW3646,JW3929
423,acrB,fepC,proB,ltaE,trpD,paaJ,,wcaL,glyA,serA,ilvB,argE
424,JW0454,JW0002,JW0233,JW0890,JW1256,JW1394,JW1789,JW2043,JW2537,JW2975,JW3722,JW3932
425,kefA,thrB,proA,serC,trpE,paaX,yeaU,wcaB,glnB,metC,asnA,argH
426,JW0473,JW0036,JW0253,JW0891,JW1295,JW1576,JW2001,,JW2580,JW3194,JW3742,JW3973
427,copA,caiC,mmuM,aroA,puuE,speG,hisG,,pheA,nanA,ilvM,metA
428,JW0475,JW0070,JW0266,JW0911,JW1383,,JW2002,JW2326,JW2581,JW3242,JW5606,JW3979
429,ybaT,leuD,argF,aspC,paaA,,hisD,aroC,tyrA,aroE,ilvE,metH
430,JW0479,JW0071,JW0377,JW0989,JW1384,JW1694,JW2003,JW2337,JW2582,JW3322,JW3745,JW3984
431,ybbL,leuC,proC,wrbA,paaB,aroH,hisC,sixA,aroF,argD,ilvA,lysC
432,JW0484,JW0073,JW0379,JW1046,JW1385,JW1733,JW2007,JW2370,JW2786,JW5652,JW3805,JW4013
433,ybbA,leuA,aroL,solA,paaC,astE,hisF,oxc,argA,avtA,metE,alr
434,JW0576,,JW0381,JW1252,JW1387,JW1734,JW2008,JW2407,JW2806,JW3582,JW3841,JW4014
435,fes,,aroM,trpA,paaE,astB,hisI,cysK,lysA,cysE,glnA,tyrB
439,JW4351,JW0578,JW0758,JW0810,,JW2187,JW2558,JW3198,JW3942,JW0231,JW0922,JW1062
440,serB,entF,bioB,moeB,,ccmC,nadB,sspA,coaA,phoE,ycbR,flgD
441,JW4355,JW0585,JW0759,JW0811,JW1801,JW2188,JW2566,JW3323,JW3953,JW0372,JW1022,JW1063
442,slt,entC,bioF,moeA,pabB,ccmB,trxC,pabA,thiH,ddlA,csgE,flgE
443,JW0051,JW0586,JW0760,JW0833,JW1969,JW2255,JW2663,JW3775,JW3957,JW0431,JW1024,JW1064
444,pdxA,entE,bioC,grxA,cobT,menE,gshA,hemX,thiE,ppiD,csgB,flgF
445,JW0105,JW0587,JW0761,JW0914,JW1970,JW2256,JW2783,JW5581,JW3958,JW0519,JW1025,JW1065
446,nadC,entB,bioD,pncB,cobS,menC,ygdL,ubiE,thiC,sfmA,csgA,flgG
447,JW0129,JW0623,JW0765,JW1331,JW1971,,JW2857,JW3820,JW4349,JW0520,JW1057,JW1067
448,panC,lipA,moaB,abgB,cobU,,idi,fre,lplA,sfmC,flgN,flgI
449,JW0130,,JW0766,JW1388,JW2041,JW2317,JW2863,,JW0135,JW0628,JW1059,JW1068
450,panB,,moaC,paaF,wcaD,pdxB,fldB,,htrE,rlpA,flgA,flgJ
451,,JW0733,JW0767,JW1389,JW2091,JW2429,JW2874,JW3900,JW0192,JW0707,JW1060,JW1069
452,,nadA,moaD,paaG,thiM,hemF,visC,rraA,rcsF,ybgP,flgB,flgK
453,JW0415,JW0757,JW0768,JW1628,JW2186,JW2548,JW2914,JW3901,JW0230,JW0709,JW1061,JW1093
454,panE,bioA,moaE,pdxY,ccmD,pdxJ,gshB,menA,crl,ybgD,flgC,nagZ
458,JW1496,JW1869,JW1923,JW1935,JW3112,JW3604,JW5599,JW4277,JW0462,JW1283,JW1876,JW2764
459,ydeQ,flhB,fliG,rcsA,yraI,rfaS,rffD,fimA,htpG,sapF,cheW,syd
460,JW1500,JW1880,JW1925,JW2020,JW3175,JW3605,JW5598,JW4279,JW0598,JW1417,JW1878,JW2861
461,hipA,flhC,fliI,wbbH,mtgA,rfaP,rffG,fimC,ahpC,trg,motB,dsbC
462,JW1633,JW1905,JW1927,JW2022,JW3594,JW3606,JW3763,JW4281,JW0941,JW1477,JW1879,JW2988
463,slyB,fliY,fliK,rfbX,rfaD,rfaG,rffH,fimF,sulA,osmC,motA,ygiS
464,JW1660,JW1908,JW1928,JW2163,JW3595,JW3607,JW3770,JW4283,JW0985,JW1561,JW1886,JW3142
465,ydhU,fliC,fliL,spr,rfaF,rfaQ,rffM,fimH,cbpA,dicC,otsB,secG
466,JW1698,JW1909,JW1929,JW2336,JW3597,,,JW0013,JW1165,,JW2183,JW3146
467,nlpC,fliD,fliM,yfcV,rfaL,,,dnaK,minC,,ccmG,rrmJ
468,JW1728,JW1910,JW1930,JW2428,JW3600,,JW4097,JW0014,JW1236,JW1720,JW2465,JW3286
469,osmE,fliS,fliN,amiA,rfaY,,cutA,dnaJ,oppB,cedA,bcp,gspC
470,JW1844,JW1911,JW1932,JW2601,JW3601,JW3758,JW4103,JW0303,JW1239,JW1721,JW2510,JW3288
471,lpxM,fliT,fliP,smpB,rfaJ,rfe,groL,betA,oppF,katE,hscA,gspE
472,JW1868,JW1922,JW1933,JW2982,JW3602,JW5600,JW4192,JW0304,JW1275,JW1873,JW2654,JW3289
473,flhA,fliF,fliQ,yqhH,rfaI,rffE,mpl,betB,osmB,cheR,proX,gspF
477,JW3290,JW3684,JW0495,JW0987,JW1595,JW2025,JW2487,JW2734,JW2924,JW3300,JW3794,JW4034
478,gspG,trmE,gcl,agp,pntA,rfbD,ppx,cysJ,ansB,chiA,pldA,nrfD
479,JW3291,JW0116,JW0510,JW0999,JW1611,JW2026,JW2525,JW2759,JW2946,JW3414,JW5584,JW4036
480,gspH,speD,ybcF,putA,hdhA,rfbB,hcaB,gudX,glcD,ugpQ,pldB,nrfF
481,JW3293,JW0181,JW0661,JW1005,JW1643,JW2027,JW2636,JW2768,JW2947,,JW3913,JW4037
482,gspJ,ldcC,nagD,phoH,gloA,galF,gabD,sdaB,glcC,,metF,nrfG
483,JW3294,JW0202,JW0663,JW1178,JW1756,JW2033,JW2720,JW2842,JW2956,JW3553,JW4053,JW4040
484,gspK,gloB,nagA,dadA,ansA,cpsG,cysC,yqeA,gss,sgbH,phnP,fdhF
485,JW3309,JW0315,JW0664,JW1179,JW1803,JW2037,JW2721,JW2871,JW2972,JW3591,JW3866,JW4198
486,fkpA,yahI,nagB,dadX,sdaA,fcl,cysN,gcvP,yghA,tdh,fdhD,treC
487,JW3324,JW0330,JW0680,JW1310,JW2010,JW2038,JW2722,JW2872,JW3143,JW3592,JW3895,JW4222
488,fic,cynT,speF,ycjU,ugd,gmd,cysD,gcvH,glmM,kbl,fpr,idnT
489,JW3513,JW0331,JW0808,,JW2023,JW2233,JW2732,JW2873,JW3181,JW5594,JW4031,JW4223
490,dppA,cynS,ybiY,,rfbC,glpQ,cysH,gcvT,gltF,aslB,nrfA,idnO
491,JW3584,JW0469,JW0963,JW1594,JW2024,JW2363,JW2733,JW2905,JW3192,JW3773,JW4033,JW4224
492,secB,ushA,appA,pntB,rfbA,dsdA,cysI,speA,nanE,aslA,nrfC,idnD
496,JW4225,JW0442,JW2031,JW4002,JW0156,JW0494,JW0762,JW5727,JW0212,JW0567,JW0955,JW1217
497,idnK,tesB,wzxC,dgkA,dgt,allR,uvrB,phnK,lpcA,nfnB,hyaB,narJ
498,JW4285,JW0465,JW2218,JW4030,JW0178,JW0500,JW0871,JW4060,JW0336,JW0606,JW0956,JW1218
499,uxuA,aes,atoB,acs,rnhB,allB,trxB,phnI,lacI,citX,hyaC,narI
500,JW4286,JW0975,JW2433,JW0028,JW0204,JW0511,JW0893,JW4062,JW0338,JW0609,JW0958,JW1224
501,uxuB,ymcE,eutC,rihC,rnhA,purK,cmk,phnG,mhpA,citD,hyaE,galU
502,JW0035,JW1077,JW2804,JW0031,JW0228,JW0512,JW0928,JW4092,JW0342,JW0740,JW0959,JW1293
503,caiD,fabH,aas,carB,gpt,purE,pyrD,cadA,mhpF,galK,hyaF,puuC
504,JW0039,JW1081,JW3314,JW0048,JW0328,JW0602,JW1049,JW4172,JW0343,JW0741,JW0981,JW1412
505,caiT,fabF,kefG,apaH,codA,rnk,pyrC,cysQ,mhpE,galT,torC,aldA
506,JW0041,JW1263,JW3765,JW0050,JW0388,JW0603,JW1220,JW0043,JW0347,JW0742,JW0982,JW1439
507,fixB,yciK,rffA,ksgA,sbcD,rna,purU,fixX,frmA,galE,torA,ydcW
508,JW0042,JW1532,JW3766,JW0101,JW0412,JW0646,JW1226,JW0045,JW0393,JW0879,JW1051,JW1460
509,fixC,ydfG,wzxE,guaC,xseB,rihA,tdk,kefF,malZ,dmsC,grxB,narV
510,JW0408,JW1653,JW3889,JW0155,JW0466,JW0704,,JW0142,JW0448,JW0954,JW1184,JW1461
511,pgpA,cfa,cdh,pfs,gsk,nei,,sfsA,maa,hyaA,ymgE,narW
515,JW1462,JW1605,JW1792,JW2120,JW2194,JW2439,JW2675,JW2697,JW3033,JW3328,JW3391,JW3543
516,narY,manA,yeaX,bglX,napA,eutE,gutM,hypB,ttdA,nirB,glgP,malS
517,JW1463,JW1608,JW1816,JW2155,JW2196,JW2509,JW5433,JW2698,JW3034,JW3329,JW3392,JW3545
518,narZ,uidB,kdgR,fruK,napF,fdx,hypF,hypC,ttdB,nirD,glgA,yiaI
519,JW1470,JW1609,JW1839,JW2182,JW2215,JW2523,JW2683,JW2699,JW5511,JW3342,JW3394,JW3552
520,fdnG,uidA,eda,ccmH,atoD,hcaF,hydN,hypD,ebgA,php,glgX,lyxK
521,JW1472,JW1614,JW1840,JW2184,JW2216,JW2524,JW2686,JW2811,JW3048,JW3352,JW3395,JW3574
522,fdnI,malY,edd,ccmF,atoA,hcaC,ascB,kduI,ebgC,aroB,glgB,mtlD
523,JW1512,JW1620,JW1862,JW2185,JW2235,JW2526,JW2689,JW2884,JW3052,JW3379,JW3487,JW3579
524,tam,rsxB,torY,ccmE,glpA,hcaD,hycG,yliK,fadH,malQ,treF,lldR
525,JW1514,JW1622,JW1912,JW2190,JW2236,JW2536,JW2690,JW2962,JW3062,JW5687,JW3536,JW3585
526,uxaB,rsxD,amyA,napC,glpB,hmp,hycF,hybC,uxaA,glpG,xylB,grxC
527,JW1579,JW1624,JW2039,JW2192,JW2237,JW2648,JW2691,JW2965,JW3063,JW3388,JW3537,JW3699
528,ynfE,rsxE,wcaF,napH,glpC,nrdH,hycE,hybO,uxaC,glpE,xylA,bglB
529,JW1581,JW1723,JW2075,JW2193,JW2436,JW2674,JW2696,JW2978,JW3155,JW3389,JW3541,
530,ynfG,chbF,gatD,napG,eutH,srlD,hypA,yqhD,sfsB,glpD,xylR,
534,,JW3863,JW1793,JW2171,JW2553,JW3617,JW4204,JW0492,JW1556,JW3076,JW4068,JW0647
535,,fdoI,rnd,rsuA,lepA,pyrE,pyrB,ybbS,relB,yhaJ,phnB,gltL
536,,JW3865,,,JW2576,JW3857,JW4313,,JW2115,JW3197,JW4360,JW0648
537,,fdoG,,,rluD,rbn,hsdR,,mlrA,sspB,creA,gltK
538,,,,JW2397,JW2650,JW3969,JW4344,JW0979,JW2231,JW3212,JW0205,JW0649
539,,,,xapB,nrdE,purD,deoC,torT,inaA,aaeR,dnaQ,gltJ
540,,JW1344,JW1963,JW2398,JW2651,JW4135,JW4345,JW1145,JW2452,JW3661,JW0221,JW0665
541,,recE,amn,xapA,nrdF,purA,deoA,mcrA,aegA,yidP,dinB,nagE
542,JW3731,JW1615,JW2050,JW2484,JW2788,JW4171,JW4347,JW1149,JW2755,JW3702,JW0582,JW0679
543,rbsK,add,dcd,purM,recB,cpdB,deoD,ycgE,relA,phoU,fepD,potE
544,JW5578,JW1625,JW2131,JW2485,JW2809,JW4196,JW0298,JW1313,JW2837,JW3778,JW0584,JW0684
545,fadA,nth,cdd,purN,araE,nrdG,ykgD,ycjW,ygeV,cyaA,fepB,kdpC
546,JW3822,JW1738,JW2146,JW2493,JW2860,JW4197,JW0440,JW1379,JW3032,JW3926,JW0604,JW0686
547,fadB,xthA,nfo,xseA,recJ,nrdD,glnK,feaR,ygiP,yijO,citT,kdpA
548,JW3862,JW1748,JW2149,JW2541,JW2912,JW4203,JW0476,JW1382,,JW3977,JW0622,JW0734
549,fdhE,nudG,rihB,purL,endA,pyrI,cueR,maoC,,arpA,tatE,pnuC
553,JW0744,JW0815,JW0887,JW1110,JW1285,JW1438,JW1521,JW1726,JW1888,JW2117,JW3704,JW3888
554,modE,yliC,focA,potC,sapC,ydcV,ydeA,chbC,araG,yehX,pstA,sbp
555,JW0747,JW0826,JW0916,JW1112,JW1286,JW1478,JW1597,JW1727,JW1889,JW2135,JW3705,JW3898
556,modB,cmr,ssuB,potA,sapB,ddpF,ydgI,chbB,araF,mglC,pstC,glpF
557,JW0748,JW0838,JW0932,JW1175,JW1287,JW1479,JW1613,JW1758,JW1893,JW2136,JW3706,JW3921
558,modC,potF,uup,nhaB,sapA,ddpD,malX,ydjE,ftn,mglA,pstS,frwC
559,JW0769,JW0841,JW0953,JW1207,JW1304,JW1480,JW1699,JW1806,JW1895,JW2137,,JW3922
560,ybhL,potI,yccA,chaA,ycjO,ddpC,btuD,manX,tyrP,mglB,,frwB
561,JW0794,JW0845,JW1001,JW1208,JW1305,JW1481,JW1700,JW1808,JW1903,JW2143,JW3728,JW3925
562,glnQ,artM,putP,chaB,ycjP,ddpB,btuE,manZ,yecS,lysP,rbsA,frwD
563,JW0795,JW0846,JW1040,JW1238,JW1311,JW1487,JW1701,,JW1962,JW3658,JW3729,JW3938
564,glnP,artQ,mdtG,oppD,ycjV,gadC,btuC,,shiA,glvG,rbsC,btuB
565,JW0796,JW0847,JW1087,JW1242,JW1358,JW1490,JW1718,,JW2076,JW3659,JW3789,JW3991
566,glnH,artI,ptsG,kch,trkG,yddB,ydjN,,gatC,glvB,corA,xylE
567,JW0804,JW0848,JW1109,JW1284,JW1436,JW1506,JW1725,JW1848,JW2085,JW3700,JW3878,JW3992
568,ybiT,artP,potD,sapD,ydcT,ego,chbA,znuB,yegT,bglF,rhaT,malG
572,JW3993,JW4072,JW4247,JW0226,JW1053,JW2173,JW2473,JW2362,JW2415,JW2531,JW2767,JW2973
573,malF,proP,fecE,prfH,rimJ,rplY,hyfH,dsdX,cysA,yphE,sdaC,exbD
574,JW3994,JW4081,JW4249,JW0395,JW1072,JW2249,,JW2380,JW2417,JW2638,JW2772,JW2974
575,malE,melB,fecC,queA,rluC,yfbG,,ypdD,cysU,gabP,fucP,exbB
576,JW3995,JW4084,JW4251,JW0396,JW1075,JW2315,JW2154,JW2388,JW2418,JW2652,JW2797,JW3064
577,malK,dcuB,fecA,tgt,rpmF,truA,fruA,mntH,cysP,proV,ptsP,exuT
578,JW4038,JW4093,JW4264,JW0514,JW1423,JW2467,JW2156,JW2389,JW2454,JW2653,JW2813,JW3101
579,gltP,cadB,sgcA,ppiB,rimL,hyfB,fruB,nupC,acrD,proW,yqeG,kbaZ
580,JW4047,JW4166,JW4284,JW0836,JW5962,JW2469,JW2199,JW2406,JW2477,JW2673,JW2850,JW3105
581,alsC,cycA,gntP,rimK,sra,hyfD,yojI,cysZ,focB,srlB,ygfO,agaS
582,JW4049,JW4168,JW4331,JW0843,JW1707,JW2470,JW2217,JW2408,JW2478,JW5435,JW2900,JW3106
583,alsB,ytfF,fhuF,rumB,rpmI,hyfE,atoE,ptsH,yfgO,ascF,cmtA,kbaY
584,JW4066,JW4199,JW4363,JW0868,JW1753,JW2471,JW2303,JW2409,JW2482,JW2710,JW2901,JW3107
585,phnD,treB,creD,aat,selD,hyfF,hisP,ptsI,uraA,ygbN,cmtB,agaB
586,,JW4201,JW0024,JW0936,JW1811,JW2472,JW2306,JW2410,JW2530,JW2760,JW2955,JW3108
587,,mgtA,ileS,rmf,rrmA,hyfG,hisJ,crr,yphD,gudP,pitB,agaC
591,JW3110,JW3251,JW3416,JW3443,JW3512,JW0033,JW0418,JW0919,JW1302,JW1833,JW1934,JW2263
592,agaI,trkA,ugpE,nikC,dppB,caiF,cyoE,ssuA,ycjM,exoX,fliR,elaC
593,JW3130,JW3252,JW3417,JW3444,JW3538,JW0067,JW0499,JW1039,JW1322,JW1861,JW1993,JW2345
594,mtr,mscL,ugpA,nikD,xylF,tbpA,ybbW,msyB,mppA,torZ,sbcB,intS
595,JW3162,JW3298,JW3418,JW3445,JW3539,JW0076,JW0597,JW1111,JW1380,JW1863,JW2004,JW2375
596,yrbF,bfr,ugpB,nikE,xylG,ilvI,dsbG,potB,feaB,cutC,hisB,ddg
597,JW3168,JW3313,JW3420,,JW3540,,JW0608,JW1119,,JW1870,JW2006,JW2416
598,yhbG,kefB,livG,,xylH,,citE,trmU,,cheZ,hisA,cysW
599,JW3171,JW3315,JW3421,JW3496,JW3573,JW0254,JW0610,JW1144,JW1420,JW1887,JW2100,JW2434
600,ptsN,yheS,livM,dctA,mtlA,afuC,citC,pin,mdoD,araH,mrp,eutB
601,JW3173,JW3371,JW3422,JW3509,JW3628,JW0340,JW0743,JW1254,JW5907,JW1898,JW2240,JW2437
602,npr,feoA,livH,dppF,gltS,mhpC,modF,trpC,yncB,uvrC,yfaV,eutG
603,JW3196,JW3372,JW3423,JW3510,JW3629,JW0357,JW0780,JW1289,JW1474,JW1906,JW2254,JW2464
604,dcuD,feoB,livK,dppD,yicE,tauA,ybiH,puuP,adhP,fliZ,pmrD,gcvR
605,JW3250,JW5690,JW3441,JW3511,JW3641,JW0374,JW0844,JW1296,JW1492,JW1924,JW2260,JW2466
606,rsmB,gntT,nikA,dppC,uhpT,phoA,artJ,pspF,ydeM,fliH,menF,hyfA
610,JW2475,JW2915,JW3102,JW3226,JW3025,JW3611,JW4107,JW0538,JW3385,JW0107,JW0496,JW0727
611,hyfJ,yqgE,agaV,panF,glnE,rpmG,efp,rusA,rtcR,ampE,hyi,tolQ
612,JW2483,,JW3126,JW3253,,JW3815,JW4129,JW0781,JW3468,JW0275,JW0526,JW0728
613,upp,,yhbT,yhdL,,tatC,miaA,rhlE,arsR,intF,ybcC,tolR
614,JW2598,JW2926,JW3144,JW3312,JW3227,JW3858,JW4158,JW0983,JW3756,JW0316,JW0531,
615,smpA,yggL,folP,yheV,prmA,dtd,rpsF,torD,rho,yahJ,emrE,
616,JW2639,JW2932,JW3148,JW3330,JW3261,JW3907,JW4161,JW1586,JW4178,JW0346,JW0544,JW0864
617,csiR,nupG,greA,nirC,rpmJ,rpmE,rplI,dgsA,msrA,frmB,ybcS,cspD
618,JW2735,,JW3157,JW3333,JW3311,,JW4194,JW2088,JW4262,JW0368,JW0546,JW0918
619,ygcM,,yrbA,frlA,slyD,,pmbA,yegW,sgcR,sbmA,borD,ssuD
620,JW2847,JW3065,JW3176,JW2667,JW3326,JW3946,JW4333,JW2554,JW4359,JW0423,JW0558,JW0933
621,ssnA,exuR,elbB,alaS,ppiA,rplK,rsmC,rseC,rob,ampG,nfrB,pqiA
622,JW2869,JW5806,JW3193,JW2713,JW3563,JW4050,JW4335,JW2555,JW0052,JW0445,JW0590,JW0934
623,bglA,tdcD,nanT,pcm,selB,rpiR,rimI,rseB,surA,ybaA,cstA,pqiB
624,JW2913,JW3091,JW3216,JW2858,JW3564,JW4090,JW0406,JW3000,JW0106,JW0468,JW0720,JW0974
625,yggJ,yhaB,rng,lysS,selA,lysU,nusB,cpdA,ampD,fsr,mngA,cspG
629,JW1126,JW1345,JW1549,JW2067,JW2480,JW3024,JW3525,JW3425,JW3627,JW3897,JW4099,JW5967
630,intE,racC,cspB,ogrK,yfgD,rfaE,cspA,livJ,recG,glpK,aspA,sgcB
631,JW1127,JW1381,JW1550,JW2132,JW2513,JW3234,JW3664,JW3469,JW3662,JW3911,JW4100,JW4338
632,ymfG,tynA,cspF,sanA,iscU,acrF,ibpA,arsB,yidE,metL,fxsA,osmY
633,JW1297,JW1425,JW1573,JW2141,JW2602,JW3348,JW3894,JW3493,JW3663,JW3955,JW4108,JW4341
634,pspA,tehA,rspA,yeiG,intA,gph,yiiT,yhjH,ibpB,thiS,ecnB,yjjV
635,JW1298,JW1426,JW1642,JW2197,JW2660,JW3363,JW3952,JW3499,JW3675,JW3956,JW4122,JW4046
636,pspB,tehB,nemA,eco,emrA,hslR,htrC,bcsZ,yidB,thiF,rsgA,alsE
637,JW1299,JW1458,JW1670,JW2246,JW2661,JW3440,JW3369,JW3534,JW3686,JW3978,JW4127,JW4111
638,pspC,nhoA,sufS,ais,emrB,acpT,greB,yiaA,tnaA,iclR,amiB,ampC
639,JW1300,JW1525,JW1812,JW2310,JW2714,JW3461,JW3370,JW3561,JW3725,JW4032,JW4208,JW4152
640,pspD,marB,cspC,cvpA,surE,yhiO,yhgF,aldB,yieN,nrfB,yjgJ,ulaB
641,JW1301,JW1538,JW1884,JW2364,JW2753,JW3462,,JW3620,JW3813,JW4035,JW4248,JW4153
642,pspE,pinQ,yecG,emrY,chpA,uspA,,dinD,tatA,nrfE,fecD,ulaC
643,JW1339,JW1544,JW2046,JW2365,JW2836,JW3470,JW3415,JW3621,JW3838,JW4042,JW4250,JW4154
644,intR,cspI,wzb,emrK,xdhC,arsC,ugpC,yicG,hemN,yjcQ,fecB,ulaD
648,JW4155,JW4236,JW1248,JW0669,,JW2074,JW2906,JW3092,JW3236,JW3622,JW3750,JW3935
649,ulaE,yjgZ,ompW,fur,,gatR,yqgB,yhaC,yhdW,ligB,yifN,fabR
650,JW4156,JW4327,JW1926,JW2468,JW1209,JW2102,JW2910,JW3093,,JW5937,JW3780,JW4065
651,ulaF,yjjB,fliJ,hyfC,chaC,molR,galP,garK,,ysdC,yzcX,phnE
652,JW4184,JW4329,JW1037,JW1142,JW1484,,JW2925,JW3095,,JW3660,JW3781,JW4080
653,chpB,yjjQ,mdoH,tfaE,dos,,yggN,garL,,glvC,yifL,melA
654,JW4265,JW0003,JW1237,JW0291,,JW2514,JW2976,JW3096,JW3449,JW3740,JW3803,
655,sgcQ,thrC,oppC,eaeH,,iscS,yghB,garP,yhhH,ilvG,yigM,
656,JW4266,JW0660,JW2442,JW0657,JW1571,,JW3058,JW3103,JW3457,JW3741,JW3831,
657,sgcC,asnB,eutI,ybeZ,intQ,,ygjR,agaW,yhiL,ilvG,yihE,
658,JW3071,JW0737,JW0482,,,,,JW3179,JW3471,JW3747,JW3832,JW4163
659,yqjK,aroG,ybbO,,,,,gltB,yhiS,ilvC,dsbA,ytfA
660,JW3590,JW0127,JW2090,JW0857,JW1710,JW2774,JW3087,JW3184,JW3526,JW3748,JW3848,JW4211
661,yibD,panD,thiD,hcp,arpB,fucK,tdcC,yhcE,hokA,ppiC,yihP,argI
662,JW3634,JW3961,JW0565,JW1035,,JW2886,JW3088,JW3187,JW3618,JW3749,JW3868,JW4227
663,yicL,hemE,pheP,mdoG,,ygfG,tdcB,yhcE,rph,yifO,frvR,intB
